         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.048    0.048 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solve_sudoku.py:23(solve_sudoku)
        3    0.002    0.001    0.027    0.009 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:54(markup)
      243    0.001    0.000    0.017    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1180(__setitem__)
      279    0.001    0.000    0.014    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1396(_maybe_update_cacher)
      243    0.001    0.000    0.011    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:4430(_maybe_cache_changed)
    318/1    0.003    0.000    0.011    0.011 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:121(backtrack_alg)
      643    0.002    0.000    0.006    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:3856(__getitem__)
      279    0.000    0.000    0.005    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:3779(_ixs)
        6    0.000    0.000    0.005    0.001 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:668(__init__)
        3    0.002    0.001    0.005    0.002 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:18(check_sudoku)
      243    0.002    0.000    0.005    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1045(iset)
        5    0.000    0.000    0.005    0.001 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
      279    0.000    0.000    0.003    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:4387(_box_col_values)
      400    0.001    0.000    0.002    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1016(__getitem__)
     1283    0.002    0.000    0.002    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:89(box)
     1288    0.001    0.000    0.002    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1768(ravel)
      317    0.002    0.000    0.002    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:166(<listcomp>)
        1    0.000    0.000    0.002    0.002 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:10039(map)
        1    0.000    0.000    0.002    0.002 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:9867(apply)
        1    0.000    0.000    0.002    0.002 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:804(apply)
        1    0.000    0.000    0.002    0.002 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:962(apply_standard)
5206/3341    0.001    0.000    0.002    0.000 {built-in method builtins.len}
     12/8    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:371(__init__)
11527/11523    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      279    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:656(_constructor_sliced_from_mgr)
      243    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1270(_set_with_engine)
      643    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:4405(_get_item_cache)
     1286    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2678(check_dict_or_set_indexers)
        1    0.000    0.000    0.001    0.001 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:968(apply_series_generator)
      279    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:991(iget)
      243    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1385(_check_is_chained_assignment_possible)
      886    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:394(__contains__)
       36    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2442(__setitem__)
      436    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1139(_get_value)
      286    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:6147(__finalize__)
     1194    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:750(_values)
       90    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:518(sanitize_array)
        9    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:10120(infer)
        9    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/base.py:891(_map_values)
        4    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:524(_init_dict)
      243    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1977(setitem_inplace)
        9    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/algorithms.py:1738(map_array)
     1288    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        9    0.001    0.000    0.001    0.000 {pandas._libs.lib.map_infer}
